Bus ID,Latitude,Longitude,Stop Name,Stop Status
1,40.679931,-73.941078,FULTON ST/KINGSTON AV,at stop
2,40.679761,-73.937984,FULTON ST/MARCUS GARVEY BL,at stop
3,40.67996,-73.941618,FULTON ST/KINGSTON AV,at stop
4,40.691635,-73.987793,FULTON ST/SMITH ST,at stop
5,40.680202,-73.946093,FULTON ST/MARCY AV,approaching
6,40.678412,-73.913283,FULTON ST/THOMAS S BOYLAND ST,approaching
7,40.686404,-73.974668,FULTON ST/S PORTLAND AV,approaching
8,40.679241,-73.928442,FULTON ST/MALCOLM X BL,approaching
9,40.690863,-73.985861,FULTON ST/JAY ST,approaching
10,40.686151,-73.974043,FULTON ST/S ELLIOTT PL,approaching
11,40.690308,-73.984476,FULTON ST/BOND ST,approaching
12,40.682613,-73.962734,FULTON ST/GRAND  AV,approaching
13,40.68598,-73.973614,FULTON ST/S ELLIOTT PL,< 1 stop away
14,40.683396,-73.966484,FULTON ST/WASHINGTON AV,< 1 stop away
